"","track_name","valence","duration_ms","lyrics","album_name","album_release_year","album_img","pct_sad","word_count","lyrical_density","gloom_index"
"1","Push It Along",0.625,454280,"[ verse : q- tip] q- tip is my title, i don't think that it's vital for me to be your idol, but dig this recital if you can't envision a brother who ain't dissing slinging this and that, cause this and that was missing instead, it's been injected, the tribe has been perfected oh yes, it's been selected, the art makes it protected afrocentric living, africans be givin' a lot to the cause, cause the cause has been risen some brothers, they be flamming, thinking we ain't slammin' coming off like the days where we used to wear the tans and a blue-collar talker, a hemisphere stalker a glass of o j and a ten mile walk-a if you're in a jeep and you dig what you're hearing can i get a beep and a side order of cheering? i am what i am, that's a tribal man we all know the colors, we all must stand as we start our travels, things they will unravel"" que sera sera"", for this unit is like gravel won't be gone for long, listen to the song if you can't pull it, all ya gotta do is push it along, push it along push it along, yeah, push it along [ verse : phife dawg] put one up for the phifer, it's time to decipher the ills of the world make the situation lighter the clock is always ticking, the systems should be kickin' like tip said in "" ham and eggs"", i eat chicken, chicken, chicken should i release the lever, the lever of the clever embellish on the funk as we start to endeavor? the roots of the rap filling up the gap with the smash of a hand and a little toe tap [ verse : q- tip] the boom, the bip, the boom bip indicates to the brothers that we be on the flip tip phonies start to crumble, funky rhythm rumbles through the dance-hall, but my anthem is humble it's the nitty-gritty, my time is itty-bitty so i kick the slash for the gipper and the witty this ain't trial and error, more like tribin' era constantly rude as some sort of tribal terror the street can't depart from the bloody heart repair the wear and tear, don't stop 'fore it starts won't be gone for long, listen to the song if you can't pull it, all ya gotta do is push it along, push it along push it along, yeah, push it along [ verse : q- tip] marching off the project, we hope that you will subject it's good to be an object and never, ever reject the tribe who meanders with drunken propaganda keep it in boom and never will we slander redeems should be handed, don't let me demand it money gives a nudge to the poet star bandit control it, then recluse it, follow, you won't lose it mysterious is the tribe for we choose it although she's flipping crazy, give my love to gracy god, could you help cause this quest is crazy spacey? the pigs are wearing blue, and in a year or two we'll be going up the creek in a great big canoe what we gonna do, save me and my brothers? hop inside the bed and pull over the covers never will we do that and we ain't trying to rule that we just want a slab of the ham, don't you know, black? this society of fake reality are nothing but a peg of informality while i sing my song, sing it all day long if you can't pull it, all ya gotta do is push it along, push it along push it along, yeah, push it along","Peoples Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition)",1990,"https://i.scdn.co/image/7b2767577b576a32854a7400161caf364d6a42c5",0.0687,233,0.512899533327463,49.87
"2","Luck of Lucien",0.678,282520,"[ verse : q- tip] brother, brother, brother, lucien, you're like no other listen very close cause i don't like to boast instead, i'll tell the tale of a french who prevailed through the mr. crazy rabbits who were always on his tail we ain't on sale, so your rumor starts to wail get caught with stolen goods and you will go to jail if you go to jail, then who will pay the bail? deport you back to france on a ship with a sail escargot, lucien, you eat snails ( hey yo tip, what's wrong with snails?) from the zulu nation, from a town called paris came to america to find liberty instead of finding pleasure, all you found was misery but listen, lucien, you have a friend in me oh, luck-luck will drive your butt batty next time you get some wheels, make it a caddy in terms of doing good, i know you wish you really could but listen, brother man, i really think you can succeed with the breed of the brothers on your back it's the creme de la creme, and you can vouch for that it'll take a minute, rice, so take my advice trust in us, and thus you trust in your life lucien, lucien, lucien, lucien - you should know! [ break: lucien]- what ? oh tip, man, why you do that to me, man ? i though he was a friend, yo oh man, can't believe that oh, why you do that to me ? i [?] like this i can do it by myself yo, it's [?] [ verse : q- tip] are you ready, lu? this one is for you comin' from a true-blue, fits like a shoe""¿ cómo está usted?"" or "" comment allez-vous"" lucien, i'll leave it up to you voulez-vous? (vous) rendez-vous (vous) coucou (cou) .. les poupous (pou) watch that lass, gonna backlash fast can you get a grip on the crackhead dip? sold you a paper bag, guess he saw you comin v c r from a neck-bone bummin' $ brother, he was hummin' and strummin' only had , he was livin' like ya slummin' gave him the money, well, i thought that was somethin lookin' like a kid who was lost in crumbin don't worry about a thing, i won't get specific this is a song that is long and prolific think of the stuff that i said if you can figure it out, compute, understand no problemo, i'll help you with your demo if you go to the store for me lucien, i'm just kiddin' you should know! [ break: lucien]- hey, yo, wassup' man ? what's your name ? - you have an accent [?] - it's a french accent, you know, i'm french, i'm from paris, don't you think it's sexy ? - no, it's not a sexy accent - oh, man ! give me a try ! you try to kiss me enough ? hun ? oh please what ! love me french, french me love, everybody love my accent ! why nobody like it ? q- tip [?] city of paris. why is that? oh ! i'm sexy, and i'm french, everybody love my accent, i'm the best, yes, yeah ! je t'aime ! i love you ! i love you oui, je t'aime ! i'll teach you french, i'll make your french good ! [ verse : q- tip] you gotta get a grip on the missions you'll be takin' not so much the mission, but you got crazy ignition sure, the sugar-babies wanna give you a chance with the french ""savoir faire"" and the sexy glance but is she really fly, or is she a guy? i won't ask why, cause i know that you try you try too hard, is that the answer to the riddle? instead of doin' so much, why don't you do just a little? boy, what a cad, i guess we shouldn't treat him bad in fact, it would be nice if we understood him like a case of positionin' the feet in the shoes sympathetic reason in the case of the blues lucien is blue, even though he's really brown i had to make the sound, his life is too profound on the up-and-up, he's somethin' like a little pup young and naive, it's hard to believe as long as you're strong, you can quest with the questers jolly like a jumping bean or a jester lucien, lucien, lucien, lucien you should know! [ break: lucien] oh tip, everything, you gonna be alright, man thank you [?], man i think i'll going home, man bye-bye, i'll see you tonigth oh tip, [?], i'm not here","Peoples Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition)",1990,"https://i.scdn.co/image/7b2767577b576a32854a7400161caf364d6a42c5",0.0646,263,0.930907546368399,54.18
"3","After Hours",0.654,278853,"after hours it was cool, after hours it was cool after hours it was cool, after hours it was cool after hours it was cool, after hours it was cool after hours it was cool, after hours it was cool [ verse : q- tip] ten after one i think i'll hop the horse downtown of course just came from fishing couldn't get a catch downtown they'll probably have a batch a whiting sandwich and a guinness stout but with the beer though i had a bout so i exchanged it for some apple juice i had the blues but i shook them loose a jeep is blasting from the urban streets loops of funk over hardcore beats the moon dabbles in the morning sky as the minutes just creep on by i get a thought and hear comes my tribe ritual shakes and in good vibes like always the quest begins in the mist though but the rhythms moving we find a spot and we sit and chat speaking on the status quo of rap a derelict makes a real long speech we pay attention to the words he read when he was done we rattled on there was no rush because it wasn't dawn we pointed things out about this times the worlds famines and the crazy crimes inflation of the nation, it bothers me i better go gold, to pay the taxes gotta be swift 'n society the man whose made is the man who maxes the grounds for living are being discussed as we go it gets close to dusk gather thoughts and savor breath cause there's only a few hours left after hours it was cool, after hours it was cool after hours it was cool, after hours it was cool after hours it was cool, after hours it was cool after hours it was cool, after hours it was cool [ verse : q- tip] me oh my, hey-hey, hey-hey the human hours are here to stay this is how it seems as phife's my witness bug out all night, ask phife, he's with this girls be screaming on this conversation i have my two cents for a revelation and my watch continuously tic-tocks shaheed will bring up the beats that rocks i hear the frogs and the smashing of bottles a car revs up and i hear it throttle it probably moves with the morning wind oh my god, here's phife again hear him talking about last nights game trying to remember someone's name so hear the frogs dancing in the streets once again ali will bring up the beat like this [ interlude] *sounds of frogs [ verse : q- tip] the beat is over and so is the night the sun is risen and the shine is bright we all say peace and go our separate ways youth is fading as we gain our days expedition for the song is simp' the hours creep, excuse me, i mean limp as we go you hear a gasp of laugh as we start up our rhythmic path like this after hours it was cool, after hours it was cool after hours it was cool, after hours it was cool after hours it was cool, after hours it was cool after hours it was cool, after hours it was cool","Peoples Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition)",1990,"https://i.scdn.co/image/7b2767577b576a32854a7400161caf364d6a42c5",0.0182,220,0.788946147253212,63.28
"4","Footprints",0.663,240640,"[ verse : q- tip] as we start trudging, me and my brothers we be looking and be bugging vehicles of life they be rolling and be nudging searching for the virgins of life that be shoving out the door that's crack the valleys of time, are always on my feet as least the beat will combine the calluses and corns with the funky bassline you don't need underdog for a nickel shoeshine or the shoes that's phat well can i get a level on the bass and on the treble footing up and down like a u n l v rebel the answer be amongst us cos we rarely dig acoustics can't be too much flacking, not too much packing you must container that at least to dip your hand in rap your feet will be infectious so at least realise the fact the rhythms are inserted and the nurse can be converted this ain't rock 'n' roll cos the rap is in control if you're a megastar, worth will buy you a car i'd rather go barefooting, for prints i will be putting all over the earth if we can get there first now that we are in it, footprints are being printed so if you recognize em, you can try to size em they'll probably be the ones with the size not frying all over reveal, you won't have to yield if you want protection you can hide behind the shield [ verse : q- tip] you can game on the gallons if you really need to rock but we walk while we talk as we stomping through the block hand in hand 'cross the land as muhammad cross the fade it's a tribe who meanders, precious like a jade it's a art, theo arch rhymes the ground placed upon the mind will unwind, it will soft to beyond catch the track, track by track, get a map to track a trail you will find yourself behind for a map does not prevail see the levels peaking as the rhythms keep-a screeching a quest, oh yes a quest, inside the jam i will keep preaching the point, oh yes the point, because it's close but yet so far the loudiness is ringing as we scoot across the star we are bulging, i'm indulging in a rat-a-tat-tat explanation for the liners that the rhythm is phat keep it wild, wide and deep, you could dig it in a jeep but dig it in the ground because the foot print now [ verse : q- tip] if there's a storm that's brewing, it won't keep us from doing our thing as we start swinging, travelling is bringing joy inside the domes as we hit the road to roam/ rome a chair is not a chair, a house is not a home because my skin is brown, yo i'm gonna do the town rub it in the face and rub my feet all through the place when you get your finger on the music it'll linger sing a song o' sixpence, sing it like a singer a nubian, a nubian, a proud one at that remember me, the brother who said "" black is black"" you can come by request, i don't play, i don't dress get emotions off your chest, we are black, we the best making moves, making motions, flowing like an ocean the walking will continue, we know that we will bring you the times that you have waited, more anticipated be gone but not for long because the feet will stay strong","Peoples Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition)",1990,"https://i.scdn.co/image/7b2767577b576a32854a7400161caf364d6a42c5",0.0478,209,0.868517287234043,56.9
"5","I Left My Wallet in El Segundo",0.882,246827,"toqué ese guitarra! [ hook: q- tip] i left my wallet in el segundo i left my wallet in el segundo i left my wallet in el segundo i got to get it, i got, got to get it i left my wallet in el segundo i left my wallet in el segundo i left my wallet in el segundo i got to get it, i got, got to get it [ verse : q- tip] my mother went away for a month-long trip her and some friends on an ocean liner ship she made a big mistake by leaving me home i had to roam so i picked up the phone dialed ali up to see what was going down told him i pick him up so we could drive around took the dodge dart, a ' my mother left a yard but i needed one more shaheed had me covered with a hundred greenbacks so we left brooklyn and we made big tracks drove down the belt, got on the conduit came to a toll, and paid and went through it had no destination, we was on a quest ali laid in the back so he can get rest drove down the road for two-days-and-a-half the sun had just risen on a dusty path just then a figure had caught my eye a man with a sombrero who was feet high i pulled over to ask where we was at his index finger he tipped up his hat el segundo, he said, my name is pedro if you need directions, i'll tell you pronto need a civilization, some sort of reservation he said a mile south there's a fast food station thanks, señor, as i started the motor ali said "" damn, tip, what did you drive so far for?"" well describe to me what the wallet looks like [ verse : q- tip] anyway a gas station we passed we got gas and went on to get grub it was a nice little pub in the middle of nowhere anywhere would have been better i ordered enchiladas and i ate em ali had the fruit punch when we finished we thought for ways to get back i had a hunch ali said: pay for lunch, so i did it pulled out the wallet and i saw this wicked beautiful lady she was a waitress there put the wallet down and stared and stared to put me back into reality, here's shaheed"" yo tip man, you got what you need?"" i checked for keys and started to step and what do you know, my wallet i forget it was a brown wallet, it had props numbers it had my jimmy hats, i gotta get it man [ verse : q- tip] lord, have mercy the heat got hotter, ali starts to curse me i feel bad but he makes me feel badder chit-chit-chatter, car starts to scatter breaking on out, we was northeast bound jetting on down at the speed of sound three days coming and three more going we get back and there was no slack madison, we're here, sha he said, ""all right, tip, see you tomorrow thinking about the past week, the last week hands go in my pocket, i can't speak hopped in the car and torped' to the shack of shaheed, we gotta go back when he said "" why?,"" i said "" we gotta go ' cause i left my wallet in el segundo"" [ hook: q- tip] i left my wallet in el segundo i left my wallet in el segundo i left my wallet in el segundo i got to get it, i got, got to get it i left my wallet in el segundo i left my wallet in el segundo i left my wallet in el segundo come on, let's go [ outro: q- tip}<U+200B><U+200B><U+200B> come on, let's go come on, let's go ( yo phife)","Peoples Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition)",1990,"https://i.scdn.co/image/7b2767577b576a32854a7400161caf364d6a42c5",0.0336,238,0.964238110093304,89.27
"6","Pubic Enemy",0.785,225787,"[ intro: d j red alert] check this out, kool d j red alert with my man, q- tip [ verse : q- tip] in the morning, woke up from sexual pleasures looked at her sexual partner who acquainted her acquaintance five hours ago at a disco she went lower than low, into limbo a thought crossed the mind, her, a bimbo she answered no, so she had to go—on with the program credence, it seems that i've forgotten your name but it seems that she's done the same and now something has happened suddenly, she's been distracted by something that has been attracted she poked and poked and smacked at it then she broke down and she scratched it now, i think you understand clinic, saw the doctor flex his biceps then he picked up a pair of forceps her pretty face showed fright right then and there, she fainted a really grim picture is painted the brotha who she acquainted was the enemy, scary ain't it? the pubic enemy [ interlude: kool d j red alert] y e a h! let me tell you more about pubic enemy ay, q- tip... [ verse : q- tip] old king cole was a merry old soul had a lady queen, married since he protested, that he was infested get lots of love and he couldn't digest it all propaganda, one big fat lie cuz i see the king with my very own eye schemed and schemed like a crack fiend king and poppin up on the teammates scene and poppin and pimpin on hunnies with moneys whole situation to me, was kinda funny he hold the crown but not the jimmy hat now he wears a frown and the jimmy hates that so the fair maiden in the royal bedroom caught the king scratchin, so she had to assume that he got vicked by the enemy's trick the thought of cheatin made the maiden so sick that she screamed and screamed, went on and kept screamin threw a pot and his dome was beamin you could hear him yellin in the motherland "" baby, baby please. baby, understand."" she ignored and walked through the gate the king is in the kingdom to await his fate...of the enemy the pubic enemy [ verse : q- tip & kool d j red alert] propmaster—yeah? please listen to me—what? something lurkin by the jim browski who? jenny? no, not propulated a horrible creature that must be penetrated he gets all into ya, then he tries to do ya you better run fast, he's gonna pursue the... what? yo listen here. propmaster whiz, no one fears... okay, bro, just thought i'd let ya know how he lives and how he go watch yourself when you're out on the run the enemy is missed, we'll have too much fun there's four friends of mine that thought they were bad and laid up this girl, so now, they're sad they scratched and scratched like it was saturday and... [ outro: kool d j red alert] listen here, this is cool d j red alert known as the true, the only, the very one, the propmaster there's only one thing i gotta tell ya there's a whole lotta propmasters out there you know what i mean? shaheed a propmaster, q- tip a propmaster the jungle brothers a propmaster b d p a propmaster king a propmaster i won't tell you nuthin' bout the ladies they ain't no propmaster but you know who's the main propmaster— m e!","Peoples Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition)",1990,"https://i.scdn.co/image/7b2767577b576a32854a7400161caf364d6a42c5",0.0404,223,0.987656508124914,74.4
"7","Bonita Applebum - includes 'Can I Kick It' Intro",0.651,229840,NA,"Peoples Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition)",1990,"https://i.scdn.co/image/7b2767577b576a32854a7400161caf364d6a42c5",0,0,0,67.23
"8","Can I Kick It?",0.729,251573,"[ hook: q- tip] can i kick it? ( yes, you can!) can i kick it? ( yes, you can!) can i kick it? ( yes, you can!) can i kick it? ( yes, you can!) can i kick it? ( yes, you can!) can i kick it? ( yes, you can!) can i kick it? ( yes, you can!) well, i'm gone ( go on then!) [ verse : q- tip] can i kick it? to all the people who can quest like a tribe does before this, did you really know what live was? comprehend to the track, for it's why cuz gettin measures on the tip of the vibers rock and roll to the beat of the funk fuzz wipe your feet really good on the rhythm rug if you feel the urge to freak, do the jitterbug come and spread your arms if you really need a hug afrocentric living is a big shrug a life filled with fun that's what i love a lower plateau is what we're above if you diss us, we won't even think of will nipper the doggy give a big shove? this rhythm really fits like a snug glove like a box of positives it's a plus, love as the tribe flies high like a dove ( can i kick it?) [ hook: phife dawg] can i kick it? ( yes, you can!) can i kick it? ( yes, you can!) can i kick it? ( yes, you can!) can i kick it? ( yes, you can!) can i kick it? ( yes, you can!) can i kick it? ( yes, you can!) can i kick it? ( yes, you can!) well, i'm gone ( go on then!) [ verse : phife dawg] can i kick it? to my tribe that flows in layers right now, phife is a poem sayer at times, i'm a studio conveyor mr. dinkins, would you please be my mayor? you'll be doing us a really big favor boy this track really has a lot of flavor when it comes to rhythms, quest is your savior follow us for the funky behavior make a note on the rhythm we gave ya feel free, drop your pants, check your ha-ir do you like the garments that we wear? i instruct you to be the obeyer a rhythm recipe that you'll savor doesn't matter if you're minor or major yes, the tribe of the game we're a player as you inhale like a breath of fresh air ( can i kick it?)","Peoples Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition)",1990,"https://i.scdn.co/image/7b2767577b576a32854a7400161caf364d6a42c5",0.0236,127,0.504823649596737,72.9
"9","Youthful Expression",0.478,292627,"[ verse : q- tip] the taste of nuthin, this does somethin mom's got no back, says i'm frontin call me smiley, cuz i'm wiley living life like the life of riley smokin' blunts with a boy named bud we cough up your lungs, cough up your cud put out fires, with a , ounce of water you know you oughta dance to this, the girl you kiss i like fried foods, especially fish afrocentric, i'm electric socialistic and eccentric body's healthy, mind is wealthy thoughts, they flow, that will propel me to be a native, get creative original and designative listen to the line that's playin' listen hard to what q's sayin' politicians are magicians make your vote, they hope your wishin ambiguous words, senseless verbs they all amount to crap that's heard violent hip hop, money flip flops promoters won't book, but it still rocks i'm a zulu, yes, a true blue red alert is with the poo-poo ozone layer, loses flava here's the edge that you will savor [ interlude: jarobi] the economy... politics... police... everything except for the youth but the youth about to come back [ q- tip] alright, here they come uh oh, uh oh, uh! [ verse : q- tip] with expressions and i'm guessin years is a youthful lesson fallin skies babe, open eyes babe can't you see what lays inside babe makin mentions on this tension rhythmic lovin, my profession hips, they gyrate, scripts i narrate no banana, i ain't a primate ain't no soul glo, just an afro the head is bred to let the thoughts grow quest together, to lands of never sleet and snow and storms can't sever tribe is growin, never know when for this time, six necks may show in dialogues have been accepted negatives have been rejected that's the music, negro music is here for all, so you must choose it phonies fondle, watch it throttle-- straight out the bottle bustin caps, finger snaps i prefer the second for ghetto tracks phife, jarobi, ali told me get the force like wan kenobi force his teachin, beats are screechin poly plateaus, we aim for reachin tribalization, freaks the nation a mass of peers in celebration hopes been real high, since the knee high days of youth, feelin good and real spry avid combos, hear those bongos boom cacka boom, that's how they go we ain't nomads, but we real glad hip hop slams through the nineties, no fad as a rhythm, have been given hurry up, become, we breakin out, out [ outro: ali shaheed muhammad] with a rhythmic instinction to be able to travel beyond existing forces of life basically, that tribal and if you wanna get the rhythm then you have to join a tribe word, peace","Peoples Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition)",1990,"https://i.scdn.co/image/7b2767577b576a32854a7400161caf364d6a42c5",0.0393,229,0.782566202025104,34.77
"10","Rhythm (Devoted to the Art of Moving Butts)",0.606,242053,"[ intro: ali shaheed muhammad] it's a new decade the native tongues are about to proceed with the usual lingo the usual rhythm [ verse : q- tip] devoted to, the art of moving butts the rhythm's happening, and it's moving up the tribe has been on hold for much too long don't fear the rhythm because it's strong on the corners, brothers bop their heads from the high-tops to the natty dreads i'm a nubian y'all, look what we did took the crust away from the third eyelid now it's kinda open, longs to see the sight rhythms of the tribe which is passed outright night after night, day after day questing for the rhythms of the native tongue way rhythm is the key as we open up the door things a b-boy has never seen before poly-rhythm addict with a big fat boom you have an eargasm as you start to consume the ghetto beat with a ghetto poem yeah, it's from the heart, cos it's from the home jarobi, phife, ali shaheed call me koala, got what you need you're a disc jock, then jock this rhythms can't lose, rhythms can't miss if you feel uptight and you need to freak it'll be alright once we drop this beat i got the rhythm, you got the rhythm ( repeat x) [ verse : q- tip] ma massa-ya, ma makossa gets hectic, freak a bourgeois we quest around for the musical heart on avenues, streets and boulevards not selling out, that's a negative loving hip hop, loving heritage got the instinct to travel miles and miles gotta whole lot of rhythm, piles and piles now you're kinda with it, wanna get the funk from the zulu nation, topping all the junk standing on the top like the temptations said rhythms are obese, yeah, you gotta keep 'em fed read what i read, can't be better said tribe'll lick motions dabble in the head sweetback's bad, not as bad as a beat it's a (stone groove baby) continue, on the windy road but, i'm lugging, a crazy big load will we be on point for the ninety dec is it muscle bound and will it flex? but trudging, we are used to you don't quest alone, quest with a crew we're four, once more, must make the tracks you see four fronts, but now you see four backs [ hook to fade]","Peoples Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition)",1990,"https://i.scdn.co/image/7b2767577b576a32854a7400161caf364d6a42c5",0.0629,175,0.72298215680037,46.74
